Rank,Team,Rating,High,Low,Last
275,Bowling Grn (11-19),0.436,38,342,275
276,Monmouth (10-21),0.434,82,278,276
277,Jacksonville (12-18),0.434,154,316,277
278,American (10-20),0.433,9,301,278
279,Troy (12-21),0.433,13,310,279
280,E Illinois (11-20),0.433,132,331,280
281,Beth-Cook (12-20),0.432,60,323,281
282,Sac State (12-15),0.431,115,336,282
283,U Penn (9-22),0.431,131,346,283
284,Hampton (14-17),0.429,50,347,284
285,UMKC (7-24),0.427,122,310,285
286,Neb Omaha (10-19),0.426,77,335,286
287,Central Ark (11-17),0.426,178,338,287
288,Liberty (12-21),0.426,52,345,288
289,Campbell (11-19),0.426,222,341,289
290,St Peters (9-21),0.425,3,325,290
291,Chattanooga (11-19),0.423,228,337,291
292,Samford (10-21),0.423,155,346,292
293,N Hampshire (8-20),0.42,97,316,293
294,Dartmouth (8-19),0.42,226,347,294
295,Siena (8-24),0.418,36,329,295
296,Nicholls St (9-21),0.417,130,339,296
297,NJIT (12-13),0.415,211,328,297
298,NC-Wilmgton (9-20),0.414,37,306,298
299,Utah Val St (10-18),0.413,120,325,299
300,Maryland BC (7-23),0.412,74,343,300
301,VA Military (11-17),0.412,12,344,301
302,Seattle (7-22),0.411,38,310,302
303,TX-Pan Am (12-16),0.411,266,346,303
304,SIU Edward (7-18),0.41,22,330,304
305,F Dickinson (7-24),0.41,52,343,305
306,Jackson St (11-18),0.409,187,345,306
307,Alcorn State (9-23),0.409,104,341,307
308,LA Monroe (4-23),0.409,134,344,308
309,Coppin State (7-24),0.408,56,338,309
310,WI-Milwkee (6-24),0.408,101,332,310
311,Navy (7-23),0.407,115,337,311
312,TN Martin (7-21),0.407,71,339,312
313,Houston Bap (11-17),0.407,6,345,313
314,Prairie View (12-19),0.407,31,333,314
315,S Utah (9-20),0.406,228,347,315
316,Montana St (11-17),0.403,163,335,316
317,Radford (10-19),0.403,165,343,317
318,Chicago St (7-22),0.403,199,340,318
319,Old Dominion (5-25),0.402,4,327,319
320,E Washingtn (10-21),0.402,30,334,320
321,Austin Peay (6-23),0.4,101,342,321
322,TX A&M-CC (5-23),0.399,258,343,322
323,Rice (4-25),0.399,84,337,323
324,St Fran (PA) (5-24),0.398,117,345,324
325,Hofstra (6-25),0.396,46,327,325
326,NC-Grnsboro (7-22),0.389,197,345,326
327,Alabama St (9-22),0.389,59,335,327
328,IUPUI (4-26),0.387,45,328,328
329,Alab A&M (9-20),0.386,47,346,329
330,Florida A&M (6-23),0.38,43,344,330
331,Citadel (6-22),0.379,10,347,331
332,N Illinois (4-25),0.378,66,334,332
333,Longwood (6-25),0.377,110,346,333
334,Howard (6-23),0.376,269,339,334
335,Lamar (3-28),0.373,138,336,335
336,Idaho State (5-24),0.371,259,345,336
337,Portland St (6-20),0.369,188,340,337
338,Binghamton (2-27),0.369,119,347,338
339,UC Riverside (4-24),0.368,227,345,339
340,S Car State (4-24),0.364,261,347,340
341,Kennesaw St (3-27),0.364,160,346,341
342,Presbyterian (5-24),0.364,57,346,342
343,Furman (5-24),0.359,221,347,343
344,Miss Val St (5-23),0.355,18,345,344
345,Maryland ES (2-26),0.352,7,345,345
346,New Orleans (4-18),0.344,1,346,346
347,Grambling St (0-28),0.3,134,347,347
